cenario,replication,test,servidor,resultado
cenario1,replication1,Wait Time Per Entity,Servidor 1,0.1030
cenario1,replication1,Wait Time Per Entity,Servidor 2,0.1835
cenario1,replication1,Wait Time Per Entity,Servidor 3,0.0991
cenario1,replication1,Wait Time Per Entity,Servidor 4,0.1048
cenario1,replication1,Waiting Time,Servidor 1.Queue,0.00951809
cenario1,replication1,Waiting Time,Servidor 2.Queue,0.02665352
cenario1,replication1,Waiting Time,Servidor 3.Queue,0
cenario1,replication1,Waiting Time,Servidor 4.Queue,0.00881847
cenario1,replication1,Number Waiting,Servidor 1.Queue,0.01015263
cenario1,replication1,Number Waiting,Servidor 2.Queue,0.02612045
cenario1,replication1,Number Waiting,Servidor 3.Queue,0
cenario1,replication1,Number Waiting,Servidor 4.Queue,0.00717236
cenario1,replication1,Instantaneous Utilization,Resource Server 1,0.0997
cenario1,replication1,Instantaneous Utilization,Resource Server 2,0.1537
cenario1,replication1,Instantaneous Utilization,Resource Server 3,0.01652238
cenario1,replication1,Instantaneous Utilization,Resource Server 4,0.07779111
cenario1,replication2,Wait Time Per Entity,Servidor 1,0.1079
cenario1,replication2,Wait Time Per Entity,Servidor 2,0.1950
cenario1,replication2,Wait Time Per Entity,Servidor 3,0.07800039
cenario1,replication2,Wait Time Per Entity,Servidor 4,0.1221
cenario1,replication2,Waiting Time,Servidor 1.Queue,0.00965266
cenario1,replication2,Waiting Time,Servidor 2.Queue,0.03307314
cenario1,replication2,Waiting Time,Servidor 3.Queue,0
cenario1,replication2,Waiting Time,Servidor 4.Queue,0.00996104
cenario1,replication2,Number Waiting,Servidor 1.Queue,0.01036052
cenario1,replication2,Number Waiting,Servidor 2.Queue,0.03252192
cenario1,replication2,Number Waiting,Servidor 3.Queue,0
cenario1,replication2,Number Waiting,Servidor 4.Queue,0.00760359
cenario1,replication2,Instantaneous Utilization,Resource Server 1,0.1055
cenario1,replication2,Instantaneous Utilization,Resource Server 2,0.1592
cenario1,replication2,Instantaneous Utilization,Resource Server 3,0.01716009
cenario1,replication2,Instantaneous Utilization,Resource Server 4,0.08528455
cenario1,replication3,Wait Time Per Entity,Servidor 1,0.1014
cenario1,replication3,Wait Time Per Entity,Servidor 2,0.2017
cenario1,replication3,Wait Time Per Entity,Servidor 3,0.1097
cenario1,replication3,Wait Time Per Entity,Servidor 4,0.1074
cenario1,replication3,Waiting Time,Servidor 1.Queue,0.00794703
cenario1,replication3,Waiting Time,Servidor 2.Queue,0.03183087
cenario1,replication3,Waiting Time,Servidor 3.Queue,0
cenario1,replication3,Waiting Time,Servidor 4.Queue,0.01104108
cenario1,replication3,Number Waiting,Servidor 1.Queue,0.00845035
cenario1,replication3,Number Waiting,Servidor 2.Queue,0.03045153
cenario1,replication3,Number Waiting,Servidor 3.Queue,0
cenario1,replication3,Number Waiting,Servidor 4.Queue,0.00853844
cenario1,replication3,Instantaneous Utilization,Resource Server 1,0.0994
cenario1,replication3,Instantaneous Utilization,Resource Server 2,0.1625
cenario1,replication3,Instantaneous Utilization,Resource Server 3,0.02010398
cenario1,replication3,Instantaneous Utilization,Resource Server 4,0.07452347
cenario1,replication4,Wait Time Per Entity,Servidor 1,0.1206
cenario1,replication4,Wait Time Per Entity,Servidor 2,0.1767
cenario1,replication4,Wait Time Per Entity,Servidor 3,0.0990
cenario1,replication4,Wait Time Per Entity,Servidor 4,0.1073
cenario1,replication4,Waiting Time,Servidor 1.Queue,0.01937979
cenario1,replication4,Waiting Time,Servidor 2.Queue,0.03062681
cenario1,replication4,Waiting Time,Servidor 3.Queue,0.00630304
cenario1,replication4,Waiting Time,Servidor 4.Queue,0.00822697
cenario1,replication4,Number Waiting,Servidor 1.Queue,0.02325575
cenario1,replication4,Number Waiting,Servidor 2.Queue,0.03338323
cenario1,replication4,Number Waiting,Servidor 3.Queue,0.00147071
cenario1,replication4,Number Waiting,Servidor 4.Queue,0.00704777
cenario1,replication4,Instantaneous Utilization,Resource Server 1,0.1215
cenario1,replication4,Instantaneous Utilization,Resource Server 2,0.1592
cenario1,replication4,Instantaneous Utilization,Resource Server 3,0.02163359
cenario1,replication4,Instantaneous Utilization,Resource Server 4,0.08483452
cenario1,replication5,Wait Time Per Entity,Servidor 1,0.1123
cenario1,replication5,Wait Time Per Entity,Servidor 2,0.1783
cenario1,replication5,Wait Time Per Entity,Servidor 3,0.0921
cenario1,replication5,Wait Time Per Entity,Servidor 4,0.0999
cenario1,replication5,Waiting Time,Servidor 1.Queue,0.00865652
cenario1,replication5,Waiting Time,Servidor 2.Queue,0.02779585
cenario1,replication5,Waiting Time,Servidor 3.Queue,0.00003200
cenario1,replication5,Waiting Time,Servidor 4.Queue,0.00681276
cenario1,replication5,Number Waiting,Servidor 1.Queue,0.00989728
cenario1,replication5,Number Waiting,Servidor 2.Queue,0.02761054
cenario1,replication5,Number Waiting,Servidor 3.Queue,0.00000608
cenario1,replication5,Number Waiting,Servidor 4.Queue,0.00547291
cenario1,replication5,Instantaneous Utilization,Resource Server 1,0.1185
cenario1,replication5,Instantaneous Utilization,Resource Server 2,0.1495
cenario1,replication5,Instantaneous Utilization,Resource Server 3,0.01749291
cenario1,replication5,Instantaneous Utilization,Resource Server 4,0.07481968
cenario1,replication6,Wait Time Per Entity,Servidor 1,0.1294
cenario1,replication6,Wait Time Per Entity,Servidor 2,0.1941
cenario1,replication6,Wait Time Per Entity,Servidor 3,0.06379662
cenario1,replication6,Wait Time Per Entity,Servidor 4,0.1092
cenario1,replication6,Waiting Time,Servidor 1.Queue,0.01628162
cenario1,replication6,Waiting Time,Servidor 2.Queue,0.02462707
cenario1,replication6,Waiting Time,Servidor 3.Queue,0
cenario1,replication6,Waiting Time,Servidor 4.Queue,0.00708639
cenario1,replication6,Number Waiting,Servidor 1.Queue,0.01763843
cenario1,replication6,Number Waiting,Servidor 2.Queue,0.02462707
cenario1,replication6,Number Waiting,Servidor 3.Queue,0
cenario1,replication6,Number Waiting,Servidor 4.Queue,0.00583446
cenario1,replication6,Instantaneous Utilization,Resource Server 1,0.1226
cenario1,replication6,Instantaneous Utilization,Resource Server 2,0.1695
cenario1,replication6,Instantaneous Utilization,Resource Server 3,0.01127074
cenario1,replication6,Instantaneous Utilization,Resource Server 4,0.08408661
cenario1,replication7,Wait Time Per Entity,Servidor 1,0.0949
cenario1,replication7,Wait Time Per Entity,Servidor 2,0.1753
cenario1,replication7,Wait Time Per Entity,Servidor 3,0.1036
cenario1,replication7,Wait Time Per Entity,Servidor 4,0.1053
cenario1,replication7,Waiting Time,Servidor 1.Queue,0.00535758
cenario1,replication7,Waiting Time,Servidor 2.Queue,0.02609612
cenario1,replication7,Waiting Time,Servidor 3.Queue,0
cenario1,replication7,Waiting Time,Servidor 4.Queue,0.00383495
cenario1,replication7,Number Waiting,Servidor 1.Queue,0.00544687
cenario1,replication7,Number Waiting,Servidor 2.Queue,0.02366049
cenario1,replication7,Number Waiting,Servidor 3.Queue,0
cenario1,replication7,Number Waiting,Servidor 4.Queue,0.00283787
cenario1,replication7,Instantaneous Utilization,Resource Server 1,0.0910
cenario1,replication7,Instantaneous Utilization,Resource Server 2,0.1352
cenario1,replication7,Instantaneous Utilization,Resource Server 3,0.01726724
cenario1,replication7,Instantaneous Utilization,Resource Server 4,0.07511017
cenario1,replication8,Wait Time Per Entity,Servidor 1,0.1255
cenario1,replication8,Wait Time Per Entity,Servidor 2,0.1895
cenario1,replication8,Wait Time Per Entity,Servidor 3,0.1088
cenario1,replication8,Wait Time Per Entity,Servidor 4,0.1146
cenario1,replication8,Waiting Time,Servidor 1.Queue,0.01973669
cenario1,replication8,Waiting Time,Servidor 2.Queue,0.03408173
cenario1,replication8,Waiting Time,Servidor 3.Queue,0
cenario1,replication8,Waiting Time,Servidor 4.Queue,0.01061786
cenario1,replication8,Number Waiting,Servidor 1.Queue,0.02217088
cenario1,replication8,Number Waiting,Servidor 2.Queue,0.03385452
cenario1,replication8,Number Waiting,Servidor 3.Queue,0
cenario1,replication8,Number Waiting,Servidor 4.Queue,0.00877743
cenario1,replication8,Instantaneous Utilization,Resource Server 1,0.1188
cenario1,replication8,Instantaneous Utilization,Resource Server 2,0.1544
cenario1,replication8,Instantaneous Utilization,Resource Server 3,0.01813394
cenario1,replication8,Instantaneous Utilization,Resource Server 4,0.08598906
cenario1,replication9,Wait Time Per Entity,Servidor 1,0.1160
cenario1,replication9,Wait Time Per Entity,Servidor 2,0.1906
cenario1,replication9,Wait Time Per Entity,Servidor 3,0.0984
cenario1,replication9,Wait Time Per Entity,Servidor 4,0.1205
cenario1,replication9,Waiting Time,Servidor 1.Queue,0.00802172
cenario1,replication9,Waiting Time,Servidor 2.Queue,0.02788953
cenario1,replication9,Waiting Time,Servidor 3.Queue,0.00182982
cenario1,replication9,Waiting Time,Servidor 4.Queue,0.00990756
cenario1,replication9,Number Waiting,Servidor 1.Queue,0.00887737
cenario1,replication9,Number Waiting,Servidor 2.Queue,0.02677395
cenario1,replication9,Number Waiting,Servidor 3.Queue,0.00027447
cenario1,replication9,Number Waiting,Servidor 4.Queue,0.00802512
cenario1,replication9,Instantaneous Utilization,Resource Server 1,0.1195
cenario1,replication9,Instantaneous Utilization,Resource Server 2,0.1562
cenario1,replication9,Instantaneous Utilization,Resource Server 3,0.01449185
cenario1,replication9,Instantaneous Utilization,Resource Server 4,0.08956523
cenario1,replication10,Wait Time Per Entity,Servidor 1,0.1170
cenario1,replication10,Wait Time Per Entity,Servidor 2,0.2031
cenario1,replication10,Wait Time Per Entity,Servidor 3,0.1330
cenario1,replication10,Wait Time Per Entity,Servidor 4,0.0977
cenario1,replication10,Waiting Time,Servidor 1.Queue,0.01318259
cenario1,replication10,Waiting Time,Servidor 2.Queue,0.03826782
cenario1,replication10,Waiting Time,Servidor 3.Queue,0.00532019
cenario1,replication10,Waiting Time,Servidor 4.Queue,0.00772079
cenario1,replication10,Number Waiting,Servidor 1.Queue,0.01414931
cenario1,replication10,Number Waiting,Servidor 2.Queue,0.03788514
cenario1,replication10,Number Waiting,Servidor 3.Queue,0.00120591
cenario1,replication10,Number Waiting,Servidor 4.Queue,0.00589353
cenario1,replication10,Instantaneous Utilization,Resource Server 1,0.1114
cenario1,replication10,Instantaneous Utilization,Resource Server 2,0.1632
cenario1,replication10,Instantaneous Utilization,Resource Server 3,0.02893503
cenario1,replication10,Instantaneous Utilization,Resource Server 4,0.06870300
cenario2,replication1,Wait Time Per Entity,Servidor 1,0.2506
cenario2,replication1,Wait Time Per Entity,Servidor 2,0.7443
cenario2,replication1,Wait Time Per Entity,Servidor 3,0.1938
cenario2,replication1,Wait Time Per Entity,Servidor 4,0.2395
cenario2,replication1,Waiting Time,Servidor 1.Queue,0.05452812
cenario2,replication1,Waiting Time,Servidor 2.Queue,0.3163
cenario2,replication1,Waiting Time,Servidor 3.Queue,0.01328619
cenario2,replication1,Waiting Time,Servidor 4.Queue,0.04174069
cenario2,replication1,Number Waiting,Servidor 1.Queue,0.05834509
cenario2,replication1,Number Waiting,Servidor 2.Queue,0.3132
cenario2,replication1,Number Waiting,Servidor 3.Queue,0.00265724
cenario2,replication1,Number Waiting,Servidor 4.Queue,0.03241860
cenario2,replication1,Instantaneous Utilization,Resource Server 1,0.2094
cenario2,replication1,Instantaneous Utilization,Resource Server 2,0.4194
cenario2,replication1,Instantaneous Utilization,Resource Server 3,0.03610396
cenario2,replication1,Instantaneous Utilization,Resource Server 4,0.1536
cenario2,replication2,Wait Time Per Entity,Servidor 1,0.2417
cenario2,replication2,Wait Time Per Entity,Servidor 2,0.7257
cenario2,replication2,Wait Time Per Entity,Servidor 3,0.1954
cenario2,replication2,Wait Time Per Entity,Servidor 4,0.2475
cenario2,replication2,Waiting Time,Servidor 1.Queue,0.04680915
cenario2,replication2,Waiting Time,Servidor 2.Queue,0.3150
cenario2,replication2,Waiting Time,Servidor 3.Queue,0.00397297
cenario2,replication2,Waiting Time,Servidor 4.Queue,0.02469006
cenario2,replication2,Number Waiting,Servidor 1.Queue,0.04524884
cenario2,replication2,Number Waiting,Servidor 2.Queue,0.2825
cenario2,replication2,Number Waiting,Servidor 3.Queue,0.00071514
cenario2,replication2,Number Waiting,Servidor 4.Queue,0.01769454
cenario2,replication2,Instantaneous Utilization,Resource Server 1,0.1884
cenario2,replication2,Instantaneous Utilization,Resource Server 2,0.3683
cenario2,replication2,Instantaneous Utilization,Resource Server 3,0.03445736
cenario2,replication2,Instantaneous Utilization,Resource Server 4,0.1597
cenario2,replication3,Wait Time Per Entity,Servidor 1,0.2498
cenario2,replication3,Wait Time Per Entity,Servidor 2,0.6361
cenario2,replication3,Wait Time Per Entity,Servidor 3,0.2793
cenario2,replication3,Wait Time Per Entity,Servidor 4,0.2167
cenario2,replication3,Waiting Time,Servidor 1.Queue,0.04748328
cenario2,replication3,Waiting Time,Servidor 2.Queue,0.2374
cenario2,replication3,Waiting Time,Servidor 3.Queue,0.01332736
cenario2,replication3,Waiting Time,Servidor 4.Queue,0.03014104
cenario2,replication3,Number Waiting,Servidor 1.Queue,0.05333955
cenario2,replication3,Number Waiting,Servidor 2.Queue,0.2390
cenario2,replication3,Number Waiting,Servidor 3.Queue,0.00288759
cenario2,replication3,Number Waiting,Servidor 4.Queue,0.02381142
cenario2,replication3,Instantaneous Utilization,Resource Server 1,0.2265
cenario2,replication3,Instantaneous Utilization,Resource Server 2,0.4014
cenario2,replication3,Instantaneous Utilization,Resource Server 3,0.05763354
cenario2,replication3,Instantaneous Utilization,Resource Server 4,0.1477
cenario2,replication4,Wait Time Per Entity,Servidor 1,0.2570
cenario2,replication4,Wait Time Per Entity,Servidor 2,0.6478
cenario2,replication4,Wait Time Per Entity,Servidor 3,0.1953
cenario2,replication4,Wait Time Per Entity,Servidor 4,0.2361
cenario2,replication4,Waiting Time,Servidor 1.Queue,0.05246462
cenario2,replication4,Waiting Time,Servidor 2.Queue,0.2520
cenario2,replication4,Waiting Time,Servidor 3.Queue,0.01121432
cenario2,replication4,Waiting Time,Servidor 4.Queue,0.03377842
cenario2,replication4,Number Waiting,Servidor 1.Queue,0.06645519
cenario2,replication4,Number Waiting,Servidor 2.Queue,0.2797
cenario2,replication4,Number Waiting,Servidor 3.Queue,0.00213072
cenario2,replication4,Number Waiting,Servidor 4.Queue,0.03107614
cenario2,replication4,Instantaneous Utilization,Resource Server 1,0.2591
cenario2,replication4,Instantaneous Utilization,Resource Server 2,0.4393
cenario2,replication4,Instantaneous Utilization,Resource Server 3,0.03496793
cenario2,replication4,Instantaneous Utilization,Resource Server 4,0.1869
cenario2,replication5,Wait Time Per Entity,Servidor 1,0.2250
cenario2,replication5,Wait Time Per Entity,Servidor 2,0.6854
cenario2,replication5,Wait Time Per Entity,Servidor 3,0.1730
cenario2,replication5,Wait Time Per Entity,Servidor 4,0.2233
cenario2,replication5,Waiting Time,Servidor 1.Queue,0.02699436
cenario2,replication5,Waiting Time,Servidor 2.Queue,0.2601
cenario2,replication5,Waiting Time,Servidor 3.Queue,0.00486620
cenario2,replication5,Waiting Time,Servidor 4.Queue,0.03821669
cenario2,replication5,Number Waiting,Servidor 1.Queue,0.02726431
cenario2,replication5,Number Waiting,Servidor 2.Queue,0.2428
cenario2,replication5,Number Waiting,Servidor 3.Queue,0.00097324
cenario2,replication5,Number Waiting,Servidor 4.Queue,0.02789818
cenario2,replication5,Instantaneous Utilization,Resource Server 1,0.2000
cenario2,replication5,Instantaneous Utilization,Resource Server 2,0.3947
