cenario,replication,test,servidor,resultado
cenario2,replication5,Instantaneous Utilization,Resource Server 3,0.03362072
cenario2,replication5,Instantaneous Utilization,Resource Server 4,0.1351
cenario2,replication6,Wait Time Per Entity,Servidor 1,0.2830
cenario2,replication6,Wait Time Per Entity,Servidor 2,0.5906
cenario2,replication6,Wait Time Per Entity,Servidor 3,0.1677
cenario2,replication6,Wait Time Per Entity,Servidor 4,0.2566
cenario2,replication6,Waiting Time,Servidor 1.Queue,0.06826817
cenario2,replication6,Waiting Time,Servidor 2.Queue,0.2014
cenario2,replication6,Waiting Time,Servidor 3.Queue,0.00448124
cenario2,replication6,Waiting Time,Servidor 4.Queue,0.05149845
cenario2,replication6,Number Waiting,Servidor 1.Queue,0.06940597
cenario2,replication6,Number Waiting,Servidor 2.Queue,0.1873
cenario2,replication6,Number Waiting,Servidor 3.Queue,0.00094106
cenario2,replication6,Number Waiting,Servidor 4.Queue,0.03707888
cenario2,replication6,Instantaneous Utilization,Resource Server 1,0.2183
cenario2,replication6,Instantaneous Utilization,Resource Server 2,0.3620
cenario2,replication6,Instantaneous Utilization,Resource Server 3,0.03426796
cenario2,replication6,Instantaneous Utilization,Resource Server 4,0.1477
cenario2,replication7,Wait Time Per Entity,Servidor 1,0.2362
cenario2,replication7,Wait Time Per Entity,Servidor 2,0.7114
cenario2,replication7,Wait Time Per Entity,Servidor 3,0.2093
cenario2,replication7,Wait Time Per Entity,Servidor 4,0.2317
cenario2,replication7,Waiting Time,Servidor 1.Queue,0.04887895
cenario2,replication7,Waiting Time,Servidor 2.Queue,0.3052
cenario2,replication7,Waiting Time,Servidor 3.Queue,0.00454228
cenario2,replication7,Waiting Time,Servidor 4.Queue,0.05099591
cenario2,replication7,Number Waiting,Servidor 1.Queue,0.05360392
cenario2,replication7,Number Waiting,Servidor 2.Queue,0.2993
cenario2,replication7,Number Waiting,Servidor 3.Queue,0.00093874
cenario2,replication7,Number Waiting,Servidor 4.Queue,0.03909686
cenario2,replication7,Instantaneous Utilization,Resource Server 1,0.2047
cenario2,replication7,Instantaneous Utilization,Resource Server 2,0.3961
cenario2,replication7,Instantaneous Utilization,Resource Server 3,0.04231103
cenario2,replication7,Instantaneous Utilization,Resource Server 4,0.1386
cenario2,replication8,Wait Time Per Entity,Servidor 1,0.2928
cenario2,replication8,Wait Time Per Entity,Servidor 2,0.8234
cenario2,replication8,Wait Time Per Entity,Servidor 3,0.2276
cenario2,replication8,Wait Time Per Entity,Servidor 4,0.2612
cenario2,replication8,Waiting Time,Servidor 1.Queue,0.08979368
cenario2,replication8,Waiting Time,Servidor 2.Queue,0.3569
cenario2,replication8,Waiting Time,Servidor 3.Queue,0.00873681
cenario2,replication8,Waiting Time,Servidor 4.Queue,0.05155534
cenario2,replication8,Number Waiting,Servidor 1.Queue,0.1089
cenario2,replication8,Number Waiting,Servidor 2.Queue,0.3851
cenario2,replication8,Number Waiting,Servidor 3.Queue,0.00200947
cenario2,replication8,Number Waiting,Servidor 4.Queue,0.04347834
cenario2,replication8,Instantaneous Utilization,Resource Server 1,0.2463
cenario2,replication8,Instantaneous Utilization,Resource Server 2,0.5011
cenario2,replication8,Instantaneous Utilization,Resource Server 3,0.05011200
cenario2,replication8,Instantaneous Utilization,Resource Server 4,0.1768
cenario2,replication9,Wait Time Per Entity,Servidor 1,0.2566
cenario2,replication9,Wait Time Per Entity,Servidor 2,0.6243
cenario2,replication9,Wait Time Per Entity,Servidor 3,0.2467
cenario2,replication9,Wait Time Per Entity,Servidor 4,0.2466
cenario2,replication9,Waiting Time,Servidor 1.Queue,0.04447335
cenario2,replication9,Waiting Time,Servidor 2.Queue,0.1976
cenario2,replication9,Waiting Time,Servidor 3.Queue,0.03192966
cenario2,replication9,Waiting Time,Servidor 4.Queue,0.03399972
cenario2,replication9,Number Waiting,Servidor 1.Queue,0.04491809
cenario2,replication9,Number Waiting,Servidor 2.Queue,0.1792
cenario2,replication9,Number Waiting,Servidor 3.Queue,0.00510875
cenario2,replication9,Number Waiting,Servidor 4.Queue,0.02538646
cenario2,replication9,Instantaneous Utilization,Resource Server 1,0.2142
cenario2,replication9,Instantaneous Utilization,Resource Server 2,0.3869
cenario2,replication9,Instantaneous Utilization,Resource Server 3,0.03435548
cenario2,replication9,Instantaneous Utilization,Resource Server 4,0.1588
cenario2,replication10,Wait Time Per Entity,Servidor 1,0.3311
cenario2,replication10,Wait Time Per Entity,Servidor 2,0.5238
cenario2,replication10,Wait Time Per Entity,Servidor 3,0.3081
cenario2,replication10,Wait Time Per Entity,Servidor 4,0.2128
cenario2,replication10,Waiting Time,Servidor 1.Queue,0.1087
cenario2,replication10,Waiting Time,Servidor 2.Queue,0.1350
cenario2,replication10,Waiting Time,Servidor 3.Queue,0.00997474
cenario2,replication10,Waiting Time,Servidor 4.Queue,0.02493499
cenario2,replication10,Number Waiting,Servidor 1.Queue,0.1287
cenario2,replication10,Number Waiting,Servidor 2.Queue,0.1426
cenario2,replication10,Number Waiting,Servidor 3.Queue,0.00216119
cenario2,replication10,Number Waiting,Servidor 4.Queue,0.02094539
cenario2,replication10,Instantaneous Utilization,Resource Server 1,0.2632
cenario2,replication10,Instantaneous Utilization,Resource Server 2,0.4109
cenario2,replication10,Instantaneous Utilization,Resource Server 3,0.06458417
cenario2,replication10,Instantaneous Utilization,Resource Server 4,0.1578
cenario3,replication1,Wait Time Per Entity,Servidor 1,1.6117
cenario3,replication1,Wait Time Per Entity,Servidor 2,0.5355
cenario3,replication1,Wait Time Per Entity,Servidor 3,0.6838
cenario3,replication1,Wait Time Per Entity,Servidor 4,1.5674
cenario3,replication1,Waiting Time,Servidor 1.Queue,1.0043
cenario3,replication1,Waiting Time,Servidor 2.Queue,0.1907
cenario3,replication1,Waiting Time,Servidor 3.Queue,0.08670350
cenario3,replication1,Waiting Time,Servidor 4.Queue,0.8172
cenario3,replication1,Number Waiting,Servidor 1.Queue,1.1047
cenario3,replication1,Number Waiting,Servidor 2.Queue,0.1875
cenario3,replication1,Number Waiting,Servidor 3.Queue,0.01965279
cenario3,replication1,Number Waiting,Servidor 4.Queue,0.6229
cenario3,replication1,Instantaneous Utilization,Resource Server 1,0.6681
cenario3,replication1,Instantaneous Utilization,Resource Server 2,0.3390
cenario3,replication1,Instantaneous Utilization,Resource Server 3,0.1353
cenario3,replication1,Instantaneous Utilization,Resource Server 4,0.5716
cenario3,replication2,Wait Time Per Entity,Servidor 1,1.6564
cenario3,replication2,Wait Time Per Entity,Servidor 2,0.7065
cenario3,replication2,Wait Time Per Entity,Servidor 3,0.6761
cenario3,replication2,Wait Time Per Entity,Servidor 4,3.4398
cenario3,replication2,Waiting Time,Servidor 1.Queue,1.1316
cenario3,replication2,Waiting Time,Servidor 2.Queue,0.3204
cenario3,replication2,Waiting Time,Servidor 3.Queue,0.06183802
cenario3,replication2,Waiting Time,Servidor 4.Queue,2.5779
cenario3,replication2,Number Waiting,Servidor 1.Queue,1.2032
cenario3,replication2,Number Waiting,Servidor 2.Queue,0.3022
cenario3,replication2,Number Waiting,Servidor 3.Queue,0.01360436
cenario3,replication2,Number Waiting,Servidor 4.Queue,1.8647
cenario3,replication2,Instantaneous Utilization,Resource Server 1,0.5581
cenario3,replication2,Instantaneous Utilization,Resource Server 2,0.3642
cenario3,replication2,Instantaneous Utilization,Resource Server 3,0.1351
cenario3,replication2,Instantaneous Utilization,Resource Server 4,0.6234
cenario3,replication3,Wait Time Per Entity,Servidor 1,1.5285
cenario3,replication3,Wait Time Per Entity,Servidor 2,0.5502
cenario3,replication3,Wait Time Per Entity,Servidor 3,0.7725
cenario3,replication3,Wait Time Per Entity,Servidor 4,1.4063
cenario3,replication3,Waiting Time,Servidor 1.Queue,0.9377
cenario3,replication3,Waiting Time,Servidor 2.Queue,0.1539
cenario3,replication3,Waiting Time,Servidor 3.Queue,0.1184
cenario3,replication3,Waiting Time,Servidor 4.Queue,0.6473
cenario3,replication3,Number Waiting,Servidor 1.Queue,0.9855
cenario3,replication3,Number Waiting,Servidor 2.Queue,0.1457
cenario3,replication3,Number Waiting,Servidor 3.Queue,0.02487213
cenario3,replication3,Number Waiting,Servidor 4.Queue,0.4747
cenario3,replication3,Instantaneous Utilization,Resource Server 1,0.6177
cenario3,replication3,Instantaneous Utilization,Resource Server 2,0.3751
cenario3,replication3,Instantaneous Utilization,Resource Server 3,0.1374
cenario3,replication3,Instantaneous Utilization,Resource Server 4,0.5520
cenario3,replication4,Wait Time Per Entity,Servidor 1,1.5947
cenario3,replication4,Wait Time Per Entity,Servidor 2,0.6192
cenario3,replication4,Wait Time Per Entity,Servidor 3,0.5178
cenario3,replication4,Wait Time Per Entity,Servidor 4,2.4399
cenario3,replication4,Waiting Time,Servidor 1.Queue,1.0271
cenario3,replication4,Waiting Time,Servidor 2.Queue,0.2285
cenario3,replication4,Waiting Time,Servidor 3.Queue,0.04184126
cenario3,replication4,Waiting Time,Servidor 4.Queue,1.6549
cenario3,replication4,Number Waiting,Servidor 1.Queue,1.2394
cenario3,replication4,Number Waiting,Servidor 2.Queue,0.2460
cenario3,replication4,Number Waiting,Servidor 3.Queue,0.01004190
cenario3,replication4,Number Waiting,Servidor 4.Queue,1.3846
cenario3,replication4,Instantaneous Utilization,Resource Server 1,0.6849
cenario3,replication4,Instantaneous Utilization,Resource Server 2,0.4207
cenario3,replication4,Instantaneous Utilization,Resource Server 3,0.1142
cenario3,replication4,Instantaneous Utilization,Resource Server 4,0.6567
cenario3,replication5,Wait Time Per Entity,Servidor 1,1.7358
cenario3,replication5,Wait Time Per Entity,Servidor 2,0.6649
cenario3,replication5,Wait Time Per Entity,Servidor 3,0.5153
cenario3,replication5,Wait Time Per Entity,Servidor 4,2.1582
cenario3,replication5,Waiting Time,Servidor 1.Queue,1.0941
cenario3,replication5,Waiting Time,Servidor 2.Queue,0.2689
cenario3,replication5,Waiting Time,Servidor 3.Queue,0.04532571
cenario3,replication5,Waiting Time,Servidor 4.Queue,1.3319
cenario3,replication5,Number Waiting,Servidor 1.Queue,1.1561
cenario3,replication5,Number Waiting,Servidor 2.Queue,0.2600
cenario3,replication5,Number Waiting,Servidor 3.Queue,0.00906514
cenario3,replication5,Number Waiting,Servidor 4.Queue,1.0211
cenario3,replication5,Instantaneous Utilization,Resource Server 1,0.6780
cenario3,replication5,Instantaneous Utilization,Resource Server 2,0.3828
cenario3,replication5,Instantaneous Utilization,Resource Server 3,0.0940
cenario3,replication5,Instantaneous Utilization,Resource Server 4,0.6335
cenario3,replication6,Wait Time Per Entity,Servidor 1,2.1344
cenario3,replication6,Wait Time Per Entity,Servidor 2,0.7540
cenario3,replication6,Wait Time Per Entity,Servidor 3,0.7312
cenario3,replication6,Wait Time Per Entity,Servidor 4,2.6620
cenario3,replication6,Waiting Time,Servidor 1.Queue,1.5539
cenario3,replication6,Waiting Time,Servidor 2.Queue,0.3374
cenario3,replication6,Waiting Time,Servidor 3.Queue,0.1227
cenario3,replication6,Waiting Time,Servidor 4.Queue,1.7746
cenario3,replication6,Number Waiting,Servidor 1.Queue,1.9540
cenario3,replication6,Number Waiting,Servidor 2.Queue,0.3700
cenario3,replication6,Number Waiting,Servidor 3.Queue,0.02495180
cenario3,replication6,Number Waiting,Servidor 4.Queue,1.5831
cenario3,replication6,Instantaneous Utilization,Resource Server 1,0.7248
cenario3,replication6,Instantaneous Utilization,Resource Server 2,0.4570
cenario3,replication6,Instantaneous Utilization,Resource Server 3,0.1237
cenario3,replication6,Instantaneous Utilization,Resource Server 4,0.7874
cenario3,replication7,Wait Time Per Entity,Servidor 1,1.3360
cenario3,replication7,Wait Time Per Entity,Servidor 2,0.4974
cenario3,replication7,Wait Time Per Entity,Servidor 3,0.6714
cenario3,replication7,Wait Time Per Entity,Servidor 4,1.6539
cenario3,replication7,Waiting Time,Servidor 1.Queue,0.7391
cenario3,replication7,Waiting Time,Servidor 2.Queue,0.1394
cenario3,replication7,Waiting Time,Servidor 3.Queue,0
cenario3,replication7,Waiting Time,Servidor 4.Queue,0.8377
cenario3,replication7,Number Waiting,Servidor 1.Queue,0.9202
cenario3,replication7,Number Waiting,Servidor 2.Queue,0.1264
cenario3,replication7,Number Waiting,Servidor 3.Queue,0
cenario3,replication7,Number Waiting,Servidor 4.Queue,0.6534
cenario3,replication7,Instantaneous Utilization,Resource Server 1,0.6243
cenario3,replication7,Instantaneous Utilization,Resource Server 2,0.3246
cenario3,replication7,Instantaneous Utilization,Resource Server 3,0.08503876
cenario3,replication7,Instantaneous Utilization,Resource Server 4,0.6367
cenario3,replication8,Wait Time Per Entity,Servidor 1,1.2892
cenario3,replication8,Wait Time Per Entity,Servidor 2,0.6159
cenario3,replication8,Wait Time Per Entity,Servidor 3,0.6537
cenario3,replication8,Wait Time Per Entity,Servidor 4,1.9187
cenario3,replication8,Waiting Time,Servidor 1.Queue,0.7228
cenario3,replication8,Waiting Time,Servidor 2.Queue,0.2224
cenario3,replication8,Waiting Time,Servidor 3.Queue,0.08443637
cenario3,replication8,Waiting Time,Servidor 4.Queue,1.1143
cenario3,replication8,Number Waiting,Servidor 1.Queue,0.8282
cenario3,replication8,Number Waiting,Servidor 2.Queue,0.2202
cenario3,replication8,Number Waiting,Servidor 3.Queue,0.01716873
cenario3,replication8,Number Waiting,Servidor 4.Queue,0.8736
cenario3,replication8,Instantaneous Utilization,Resource Server 1,0.6508
cenario3,replication8,Instantaneous Utilization,Resource Server 2,0.3895
cenario3,replication8,Instantaneous Utilization,Resource Server 3,0.1157
cenario3,replication8,Instantaneous Utilization,Resource Server 4,0.6250
cenario3,replication9,Wait Time Per Entity,Servidor 1,2.2975
cenario3,replication9,Wait Time Per Entity,Servidor 2,0.6069
cenario3,replication9,Wait Time Per Entity,Servidor 3,0.6522
cenario3,replication9,Wait Time Per Entity,Servidor 4,3.7814
cenario3,replication9,Waiting Time,Servidor 1.Queue,1.6319
cenario3,replication9,Waiting Time,Servidor 2.Queue,0.2244
cenario3,replication9,Waiting Time,Servidor 3.Queue,0.0984
cenario3,replication9,Waiting Time,Servidor 4.Queue,2.9421
cenario3,replication9,Number Waiting,Servidor 1.Queue,1.9692
cenario3,replication9,Number Waiting,Servidor 2.Queue,0.2185
cenario3,replication9,Number Waiting,Servidor 3.Queue,0.01607160
cenario3,replication9,Number Waiting,Servidor 4.Queue,2.3831
cenario3,replication9,Instantaneous Utilization,Resource Server 1,0.7689
cenario3,replication9,Instantaneous Utilization,Resource Server 2,0.3722
cenario3,replication9,Instantaneous Utilization,Resource Server 3,0.0904
cenario3,replication9,Instantaneous Utilization,Resource Server 4,0.6798
cenario3,replication10,Wait Time Per Entity,Servidor 1,1.3011
cenario3,replication10,Wait Time Per Entity,Servidor 2,0.5926
cenario3,replication10,Wait Time Per Entity,Servidor 3,0.7369
cenario3,replication10,Wait Time Per Entity,Servidor 4,1.7624
cenario3,replication10,Waiting Time,Servidor 1.Queue,0.7163
cenario3,replication10,Waiting Time,Servidor 2.Queue,0.1918
cenario3,replication10,Waiting Time,Servidor 3.Queue,0.04175686
cenario3,replication10,Waiting Time,Servidor 4.Queue,0.9843
cenario3,replication10,Number Waiting,Servidor 1.Queue,0.8072
cenario3,replication10,Number Waiting,Servidor 2.Queue,0.1854
cenario3,replication10,Number Waiting,Servidor 3.Queue,0.00793380
cenario3,replication10,Number Waiting,Servidor 4.Queue,0.7645
cenario3,replication10,Instantaneous Utilization,Resource Server 1,0.6430
cenario3,replication10,Instantaneous Utilization,Resource Server 2,0.3875
cenario3,replication10,Instantaneous Utilization,Resource Server 3,0.1321
cenario3,replication10,Instantaneous Utilization,Resource Server 4,0.6043